v8-version,6,0,287,53,0
code-creation,Stub,17,59283,0xe076b123b60,228,"BinaryOpICStub"
code-creation,Stub,3,59285,0xe076b123c60,2285,"RecordWriteStub"
code-creation,Stub,3,59287,0xe076b124560,543,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,59289,0xe076b124780,2346,"RecordWriteStub"
code-creation,Stub,3,59290,0xe076b1250c0,495,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,59292,0xe076b1252c0,436,"CEntryStub"
code-creation,Stub,17,59294,0xe076b125480,300,"BinaryOpICStub"
code-creation,Stub,17,59295,0xe076b1255c0,264,"BinaryOpICStub"
code-creation,Stub,17,59297,0xe076b1256e0,228,"BinaryOpICStub"
code-creation,Stub,3,59299,0xe076b1257e0,2328,"RecordWriteStub"
code-creation,Stub,3,59300,0xe076b126100,2358,"RecordWriteStub"
code-creation,Stub,3,59303,0xe076b126a40,215,"DoubleToIStub"
code-creation,Stub,3,59304,0xe076b126b20,1012,"RecordWriteStub"
code-creation,Stub,3,59306,0xe076b126f20,2289,"RecordWriteStub"
code-creation,Stub,3,59308,0xe076b127820,2304,"RecordWriteStub"
code-creation,Stub,3,59309,0xe076b128120,2332,"RecordWriteStub"
code-creation,Stub,17,59311,0xe076b128a40,228,"BinaryOpICStub"
code-creation,Stub,17,59313,0xe076b128b40,248,"BinaryOpICStub"
code-creation,Stub,3,59314,0xe076b128c40,2298,"RecordWriteStub"
code-creation,Stub,17,59316,0xe076b129540,240,"BinaryOpICStub"
code-creation,Stub,3,59318,0xe076b129640,2282,"RecordWriteStub"
code-creation,Stub,17,59319,0xe076b129f40,173,"BinaryOpICStub"
code-creation,Stub,3,59321,0xe076b12a000,2274,"RecordWriteStub"
code-creation,Stub,3,59323,0xe076b12a900,2286,"RecordWriteStub"
code-creation,Stub,17,59324,0xe076b12b200,300,"BinaryOpICStub"
code-creation,Handler,4,59326,0xe076b12b340,340,"An IC handler from the snapshot"
code-creation,Stub,17,59328,0xe076b12b4a0,240,"BinaryOpICStub"
code-creation,Stub,3,59329,0xe076b12b5a0,2286,"RecordWriteStub"
code-creation,Stub,3,59331,0xe076b12bea0,2327,"RecordWriteStub"
code-creation,Stub,3,59333,0xe076b12c7c0,2289,"RecordWriteStub"
code-creation,Stub,3,59334,0xe076b12d0c0,2286,"RecordWriteStub"
code-creation,Stub,3,59336,0xe076b12d9c0,1010,"RecordWriteStub"
code-creation,Stub,17,59338,0xe076b12ddc0,228,"BinaryOpICStub"
code-creation,Stub,17,59339,0xe076b12dec0,439,"BinaryOpICStub"
code-creation,Handler,4,59341,0xe076b12e080,720,"An IC handler from the snapshot"
code-creation,Stub,3,59343,0xe076b12e360,2323,"RecordWriteStub"
code-creation,Handler,4,59344,0xe076b12ec80,328,"An IC handler from the snapshot"
code-creation,Stub,17,59346,0xe076b12ede0,487,"BinaryOpICStub"
code-creation,Stub,3,59348,0xe076b12efe0,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,59349,0xe076b12f1e0,2286,"RecordWriteStub"
code-creation,Stub,3,59351,0xe076b12fae0,221,"DoubleToIStub"
code-creation,Stub,3,59353,0xe076b12fbc0,2282,"RecordWriteStub"
code-creation,Stub,3,59354,0xe076b1304c0,2301,"RecordWriteStub"
code-creation,Stub,3,59356,0xe076b130dc0,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59358,0xe076b130f20,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,17,59359,0xe076b131080,455,"BinaryOpICStub"
code-creation,Stub,3,59387,0xe076b131260,2323,"RecordWriteStub"
code-creation,Stub,17,59390,0xe076b131b80,304,"BinaryOpICStub"
code-creation,Stub,17,59391,0xe076b131cc0,308,"BinaryOpICStub"
code-creation,Stub,3,59393,0xe076b131e00,2307,"RecordWriteStub"
code-creation,Stub,17,59394,0xe076b132720,459,"BinaryOpICStub"
code-creation,Stub,3,59396,0xe076b132900,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,59398,0xe076b132b00,1012,"RecordWriteStub"
code-creation,Stub,3,59400,0xe076b132f00,2302,"RecordWriteStub"
code-creation,Stub,3,59401,0xe076b133800,2286,"RecordWriteStub"
code-creation,Stub,17,59403,0xe076b134100,228,"BinaryOpICStub"
code-creation,Stub,3,59405,0xe076b134200,647,"StringAddStub"
code-creation,Stub,17,59406,0xe076b1344a0,173,"BinaryOpICStub"
code-creation,Stub,3,59408,0xe076b134560,2261,"RecordWriteStub"
code-creation,Stub,3,59410,0xe076b134e40,2286,"RecordWriteStub"
code-creation,Stub,17,59411,0xe076b135740,272,"BinaryOpICStub"
code-creation,Stub,3,59413,0xe076b135860,2270,"RecordWriteStub"
code-creation,Stub,17,59415,0xe076b136140,459,"BinaryOpICStub"
code-creation,Stub,3,59416,0xe076b136320,2298,"RecordWriteStub"
code-creation,Stub,17,59418,0xe076b136c20,272,"BinaryOpICStub"
code-creation,Handler,4,59420,0xe076b136d40,720,"An IC handler from the snapshot"
code-creation,Stub,3,59421,0xe076b137020,2308,"RecordWriteStub"
code-creation,Stub,17,59423,0xe076b137940,483,"BinaryOpICStub"
code-creation,Stub,3,59425,0xe076b137b40,2295,"RecordWriteStub"
code-creation,Stub,17,59427,0xe076b138440,248,"BinaryOpICStub"
code-creation,Stub,3,59428,0xe076b138540,397,"CEntryStub"
code-creation,Stub,17,59430,0xe076b1386e0,455,"BinaryOpICStub"
code-creation,Stub,3,59432,0xe076b1388c0,2270,"RecordWriteStub"
code-creation,Stub,3,59433,0xe076b1391a0,2274,"RecordWriteStub"
code-creation,Stub,17,59435,0xe076b139aa0,308,"BinaryOpICStub"
code-creation,Stub,17,59437,0xe076b139be0,240,"BinaryOpICStub"
code-creation,Stub,3,59438,0xe076b139ce0,1448,"RecordWriteStub"
code-creation,Stub,17,59440,0xe076b13a2a0,300,"BinaryOpICStub"
code-creation,Stub,3,59442,0xe076b13a3e0,1014,"RecordWriteStub"
code-creation,Stub,3,59443,0xe076b13a7e0,1036,"RecordWriteStub"
code-creation,Stub,3,59445,0xe076b13ac00,2302,"RecordWriteStub"
code-creation,Stub,17,59447,0xe076b13b500,272,"BinaryOpICStub"
code-creation,Handler,4,59448,0xe076b13b620,776,"An IC handler from the snapshot"
code-creation,Stub,17,59450,0xe076b13b940,300,"BinaryOpICStub"
code-creation,Stub,3,59452,0xe076b13ba80,1051,"CallICStub"
code-creation,Stub,3,59453,0xe076b13bea0,498,"ArrayConstructorStub"
code-creation,Stub,3,59455,0xe076b13c0a0,375,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59457,0xe076b13c220,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59459,0xe076b13c380,331,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,59460,0xe076b13c4e0,153,"Abort"
code-creation,Stub,3,59486,0xe076b13c580,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,59488,0xe076b13c760,455,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,59490,0xe076b13c940,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,59491,0xe076b13caa0,2286,"RecordWriteStub"
code-creation,Stub,3,59493,0xe076b13d3a0,1012,"RecordWriteStub"
code-creation,Stub,17,59495,0xe076b13d7a0,272,"BinaryOpICStub"
code-creation,Stub,3,59497,0xe076b13d8c0,2349,"RecordWriteStub"
code-creation,Stub,17,59498,0xe076b13e200,300,"BinaryOpICStub"
code-creation,Stub,3,59500,0xe076b13e340,2282,"RecordWriteStub"
code-creation,Stub,3,59502,0xe076b13ec40,2323,"RecordWriteStub"
code-creation,Stub,3,59503,0xe076b13f560,1444,"RecordWriteStub"
code-creation,Stub,17,59505,0xe076b13fb20,304,"BinaryOpICStub"
code-creation,Stub,3,59507,0xe076b13fc60,2298,"RecordWriteStub"
code-creation,Stub,3,59508,0xe076b140560,1444,"RecordWriteStub"
code-creation,Stub,17,59510,0xe076b140b20,240,"BinaryOpICStub"
code-creation,Stub,3,59512,0xe076b140c20,327,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,17,59513,0xe076b140d80,228,"BinaryOpICStub"
code-creation,Stub,3,59515,0xe076b140e80,1034,"RecordWriteStub"
code-creation,Stub,3,59557,0xe076b1412a0,1004,"RecordWriteStub"
code-creation,Stub,3,59560,0xe076b1416a0,2286,"RecordWriteStub"
code-creation,Stub,17,59563,0xe076b141fa0,228,"BinaryOpICStub"
code-creation,Stub,17,59579,0xe076b1420a0,228,"BinaryOpICStub"
code-creation,Stub,3,59581,0xe076b1421a0,2316,"RecordWriteStub"
code-creation,Stub,17,59584,0xe076b142ac0,248,"BinaryOpICStub"
code-creation,Stub,3,59586,0xe076b142bc0,515,"CreateAllocationSiteStub"
code-creation,Stub,3,59589,0xe076b142de0,2324,"RecordWriteStub"
code-creation,Stub,3,59592,0xe076b143700,1006,"RecordWriteStub"
code-creation,Stub,3,59593,0xe076b143b00,215,"DoubleToIStub"
code-creation,Stub,3,59595,0xe076b143be0,2298,"RecordWriteStub"
code-creation,Handler,4,59597,0xe076b1444e0,776,"An IC handler from the snapshot"
code-creation,Stub,17,59599,0xe076b144800,228,"BinaryOpICStub"
code-creation,Stub,17,59600,0xe076b144900,455,"BinaryOpICStub"
code-creation,Stub,3,59602,0xe076b144ae0,2273,"RecordWriteStub"
code-creation,Stub,17,59604,0xe076b1453e0,483,"BinaryOpICStub"
code-creation,Stub,3,59605,0xe076b1455e0,495,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,59607,0xe076b1457e0,3437,"SubStringStub"
code-creation,Stub,3,59609,0xe076b146560,1012,"RecordWriteStub"
code-creation,Stub,17,59611,0xe076b146960,228,"BinaryOpICStub"
code-creation,Stub,17,59612,0xe076b146a60,455,"BinaryOpICStub"
code-creation,Stub,3,59614,0xe076b146c40,2273,"RecordWriteStub"
code-creation,Stub,17,59616,0xe076b147540,455,"BinaryOpICStub"
code-creation,Stub,3,59617,0xe076b147720,2298,"RecordWriteStub"
code-creation,Stub,17,59619,0xe076b148020,173,"BinaryOpICStub"
code-creation,Stub,17,59621,0xe076b1480e0,173,"BinaryOpICStub"
code-creation,Stub,17,59622,0xe076b1481a0,451,"BinaryOpICStub"
code-creation,Stub,17,59624,0xe076b148380,312,"BinaryOpICStub"
code-creation,Stub,17,59625,0xe076b1484c0,248,"BinaryOpICStub"
code-creation,Stub,17,59627,0xe076b1485c0,336,"BinaryOpICStub"
code-creation,Stub,17,59629,0xe076b148720,423,"BinaryOpICStub"
code-creation,Stub,3,59630,0xe076b1488e0,149,"StubFailureTrampolineStub"
code-creation,Stub,17,59632,0xe076b148980,240,"BinaryOpICStub"
code-creation,Stub,17,59634,0xe076b148a80,240,"BinaryOpICStub"
code-creation,Stub,17,59635,0xe076b148b80,248,"BinaryOpICStub"
code-creation,Stub,3,59637,0xe076b148c80,2286,"RecordWriteStub"
code-creation,Stub,3,59639,0xe076b149580,459,"CallApiGetterStub"
code-creation,Stub,3,59640,0xe076b149760,2298,"RecordWriteStub"
code-creation,Stub,17,59642,0xe076b14a060,439,"BinaryOpICStub"
code-creation,Stub,17,59644,0xe076b14a220,240,"BinaryOpICStub"
code-creation,Stub,17,59645,0xe076b14a320,173,"BinaryOpICStub"
code-creation,Stub,3,59647,0xe076b14a3e0,2315,"RecordWriteStub"
code-creation,Stub,17,59649,0xe076b14ad00,300,"BinaryOpICStub"
code-creation,Handler,4,59650,0xe076b14ae40,340,"An IC handler from the snapshot"
code-creation,Handler,4,59652,0xe076b14afa0,340,"An IC handler from the snapshot"
code-creation,Stub,17,59654,0xe076b14b100,300,"BinaryOpICStub"
code-creation,Stub,3,59655,0xe076b14b240,2270,"RecordWriteStub"
code-creation,Stub,17,59657,0xe076b14bb20,423,"BinaryOpICStub"
code-creation,Stub,3,59659,0xe076b14bce0,2302,"RecordWriteStub"
code-creation,Stub,17,59660,0xe076b14c5e0,308,"BinaryOpICStub"
code-creation,Stub,3,59662,0xe076b14c720,148,"StubFailureTrampolineStub"
code-creation,Stub,17,59664,0xe076b14c7c0,455,"BinaryOpICStub"
code-creation,Stub,3,59665,0xe076b14c9a0,2297,"RecordWriteStub"
